α₁ f₁ α₂ variance ν μ A ϕ T₀
5.652416637666752841e-01 3.688699477717866278e-03 2.871013430296855518e+00 4.185132397015671468e-02 1.075014597582353293e+00 1.302193344154153998e+00 2.137232320653577877e-01 2.187198917917016150e+00 5.881511856118962669e+02
1.036111502938282802e+00 1.633585185953023364e-02 3.127133416078724970e+00 1.269683258299222385e-02 1.172298117294820141e+00 9.755010133882440204e-01 1.893652765329259524e-01 3.376962314103701068e+00 2.731138926758193861e+02
6.800209736712043984e-01 7.607469570269071064e-03 3.031211508427769541e+00 2.739791023876047421e-02 1.109720929054596406e+00 1.561440902935937292e+00 4.204119988796187757e-01 3.421745336254532255e+00 6.035161523708937921e+02
9.445556174999378829e-01 8.003152521291283933e-03 2.928664794624080248e+00 1.760299097344658267e-02 1.141934961580174379e+00 1.048327995107571686e+00 1.239623731760769593e-01 2.441033585510878900e+00 4.568416944456496367e+02
1.477735142109927402e+00 2.628271999079273558e-02 3.437930195876183426e+00 1.420018154002309317e-02 1.093068967749786902e+00 5.329207574451406693e-01 1.134767924195708294e-01 2.910793285487488724e+00 7.230484186987941939e+02
9.919172709386590014e-01 1.684534615450579940e-03 2.484171854858812978e+00 2.568965941074267262e-02 9.690947870320547608e-01 5.755543786911851978e-01 2.890802277765729400e-01 2.542841092637242895e+00 5.508414897564498460e+02
1.110698619671574017e+00 3.880555856232210943e-02 3.876831271936938883e+00 7.410265666538004559e-03 1.282937359726772142e+00 1.071363196799522743e+00 2.165099310102709673e-01 3.009005832818678172e+00 6.612895310471130870e+02
1.417254810937692788e+00 1.968801694824233797e-02 3.456322867182773706e+00 1.946958048390455207e-02 1.083836478214870613e+00 1.446293045998792604e+00 3.962940244231373255e-01 2.841989006842512211e+00 5.798384581798849240e+02
1.488594137405336193e+00 9.118194787801046225e-03 3.020422883016221416e+00 2.897256986034320303e-02 1.212835613046421512e+00 4.724579564830608813e-01 2.837426416641214422e-01 2.342095860104031591e+00 6.609683885412315476e+02
1.280718704388033258e+00 2.081532346864625391e-02 3.395123127449869216e+00 1.649680806861887269e-02 1.404787923944035066e+00 1.904604494383438373e+00 1.801944431247599065e-01 9.434953787138852244e-01 4.334740607669920678e+02
8.898240537243413684e-01 5.079363738709581286e-03 2.873134877772881346e+00 2.459015029059197915e-02 1.241656865415219135e+00 1.417572468131933494e+00 1.734385975636863197e-01 4.347170117852495075e+00 7.010785057399621110e+02
4.673873512562752297e-01 9.503608364016155954e-03 3.194085438108364094e+00 1.428106825061926585e-02 1.335280807219809684e+00 1.295082512590560286e+00 2.442173530224554800e-01 1.555326957463152748e+00 2.324962297071585624e+02
9.861704912375768295e-01 3.354472506405806447e-03 2.665170482259059170e+00 2.014350717458262760e-02 1.188213741067005502e+00 1.213849286836604424e+00 1.628477368044386753e-01 2.733998883816985526e+00 5.414522130743421258e+02
1.372939768305929009e+00 7.744382524391213787e-03 2.963700559645604748e+00 2.328105242231109928e-02 1.018375401656648194e+00 1.527780263204137512e+00 6.899357890527813009e-02 2.119865632358441498e+00 3.838822037857435134e+02
1.209626272098857314e+00 9.079019661269973479e-03 3.074406175861162716e+00 2.445323723325169840e-02 1.070801290707560804e+00 6.549703323116489173e-01 1.203574501802354424e-01 2.397795948329775939e+00 2.410402454582975622e+02
1.286359084952669596e+00 8.502489683382647573e-03 2.885823602020222811e+00 1.680239549087416892e-02 1.277416551615754736e+00 8.275211373407121984e-01 2.197232117871130153e-01 2.613695849092517065e+00 2.651538662310042582e+02
1.063163478573409426e+00 4.946580392568754314e-03 2.631310701699526522e+00 2.102633602543304420e-02 1.108414788317021893e+00 9.608249460680227116e-01 3.002069733876301938e-01 3.855230323427291328e+00 6.055273628804452528e+02
9.038025123496222779e-01 1.326041297626956265e-02 3.375679144278841193e+00 1.629955862549615012e-02 1.107747940248296592e+00 1.259950973896536208e+00 1.713900151921314563e-01 3.161675575385634929e+00 2.674153488542083323e+02
8.526213032886327259e-01 7.263118271665362129e-04 2.818990977897479322e+00 8.840826450018725302e-02 1.019347711218478336e+00 2.745749270630092553e+00 6.801729685435293771e-01 4.645109431344849327e+00 5.822672743372414743e+02
1.157632152557074967e+00 2.840498983475010526e-03 2.697639932526928241e+00 3.422948751696554270e-02 1.248582574227157016e+00 1.365782205702028351e+00 6.378124481557381209e-01 2.999354992011459053e+00 5.217396562013291259e+02
5.936729055532028454e-01 2.192935647990776078e-03 2.800905377884289837e+00 5.609430075388566889e-02 1.034029702046235455e+00 1.208445989797492626e+00 2.542468342440717954e-01 1.441261615550909259e+00 6.724463757137567654e+02
1.213836907928166120e+00 7.176991533960884809e-03 3.018500406936967195e+00 2.439210257515429109e-02 1.221089159899726218e+00 1.247478795634215709e+00 8.532745978557823574e-02 4.025139682041909417e+00 1.715868169986042915e+02
