weight logl α₁ f₁ α₂ variance ν μ A ϕ T₀
0.000000000000000000e+00 -7.834576194507709261e+03 9.049675900480091961e-02 9.458133075868581097e-01 2.611991273810904124e-01 5.972874153123870489e-01 3.443131747531462672e-01 1.239025968507766473e-01 9.750224530778728305e-01 9.456318763334599087e-01 3.226172166670931984e-01
0.000000000000000000e+00 -7.765361252943452200e+03 2.811684494625439346e-01 7.886399689937162449e-01 2.929260933257173960e-01 4.386543169431060818e-01 8.728011024978155064e-01 3.515379688511146572e-01 9.228176622509260962e-01 3.062209437728152794e-01 2.027587970786002280e-01
0.000000000000000000e+00 -6.953431556908023595e+03 3.538825879281826126e-02 7.491175680411059634e-01 4.042092203152785057e-01 3.238125143112565718e-01 7.468801436067271649e-01 8.348559819132661541e-01 7.090358453772127589e-02 4.877535813198741188e-02 7.006854166474492107e-01
0.000000000000000000e+00 -6.919493202423302137e+03 4.693967415142321631e-01 4.222402946217085340e-02 6.140333481104016666e-01 6.127743282815036885e-01 8.785144923766184943e-01 5.019466518563413526e-01 9.886064511311216663e-01 8.069437670802142026e-01 2.450928880400321530e-01
0.000000000000000000e+00 -6.831273906855823952e+03 3.521221602094528613e-01 6.017069724083692339e-01 9.996253681195047536e-01 4.184859643157724518e-01 7.920940290852638288e-01 1.102471378104630251e-02 9.674101890125825776e-01 7.635197241968337822e-01 8.700416681623950321e-01
0.000000000000000000e+00 -6.813967909459803195e+03 2.717930913803819903e-01 3.101810122438490858e-01 5.111628078228599437e-01 7.874121828424851532e-02 5.930713780390073353e-01 4.180799783371614842e-01 6.879843526791155073e-01 9.733526891021463401e-01 6.533250581835237103e-02
0.000000000000000000e+00 -6.749354227850831194e+03 3.358736514840188203e-02 9.405736857267887885e-01 5.852634681621758928e-01 1.820591841556278290e-01 7.779929293994300998e-01 1.949109944176868892e-01 6.828918768509010251e-01 5.391863254254187776e-01 1.256244606919865170e-03
0.000000000000000000e+00 -6.512148044021851092e+03 1.698091068780286372e-01 9.206824686022806459e-01 9.469162965949704525e-01 3.646668856117910584e-01 4.684799374840720176e-01 1.028604449188197378e-01 6.914182477763627377e-01 7.318040636563872825e-01 5.432123334492241495e-01
0.000000000000000000e+00 -6.379660679457359947e+03 1.157400303891248372e-01 6.443090669354809563e-01 5.666860960721198381e-01 5.652332972532140287e-01 8.481226878073927500e-01 5.015033437673495076e-01 9.251643001452500847e-01 8.543052075056989381e-02 3.241968453159552732e-01
0.000000000000000000e+00 -5.732511128291622299e+03 9.217209348485120302e-01 6.640293276370393682e-01 9.338130526840293655e-03 2.810883650106744680e-01 1.061852587619356303e-01 4.235239665777192908e-01 9.877384211136998049e-01 8.096568921230182792e-01 5.171048222527242499e-01
0.000000000000000000e+00 -5.035735670102637414e+03 8.514611085762590070e-01 6.181284099243453678e-01 5.913217504614562969e-01 2.065227831822602500e-02 7.363674980259085068e-01 3.224052826831426133e-01 7.012437526426806844e-01 7.547354342859748932e-01 1.725337883355004820e-01
0.000000000000000000e+00 -4.731463274577841730e+03 6.523214815279683165e-01 9.394544081492248733e-01 9.274414330269719065e-01 6.328534439363650010e-01 2.766019050746224561e-01 6.185336891137529491e-01 9.835470154223135975e-01 7.356045608727064256e-01 3.018579138354821056e-01
0.000000000000000000e+00 -4.474599691566565525e+03 3.610267721948552389e-01 9.755921215540935831e-01 3.040827243131056790e-01 6.958350524081891031e-02 7.226949806744099591e-01 1.524654731110637318e-01 5.327557172395210872e-01 9.132068847514732690e-01 5.502051705813586491e-01
0.000000000000000000e+00 -4.445437683520043720e+03 7.885164818829898392e-01 9.953240290695065662e-01 4.903876671286999667e-03 2.811706715874445761e-01 7.767328769814341172e-05 2.547750387611528167e-01 8.214093727672624468e-01 3.023336342959627165e-01 7.124919061554857436e-02
0.000000000000000000e+00 -4.228259466226010773e+03 1.688978951119307625e-01 5.374625235865243544e-01 5.232496554354385543e-01 3.251999458070959914e-01 6.187088926881261219e-01 1.356256197239995576e-01 8.975772054968880198e-01 8.539846090136505863e-01 7.734835486597203547e-01
0.000000000000000000e+00 -3.868127382012497037e+03 2.382355807982555751e-01 7.721357684561691581e-01 8.319925850868956640e-01 3.425370019044536862e-01 4.717286026731595250e-01 9.020584099590912563e-01 2.265111592864247347e-01 4.157966154999077624e-01 2.286941862824006799e-01
0.000000000000000000e+00 -3.689334966764320598e+03 7.895318245601345986e-01 1.833991275682714805e-01 8.240101552260823414e-01 1.170396468929603140e-01 6.280236359461820461e-01 2.151805370266852702e-01 9.791440185732991353e-01 9.651370761046664803e-01 5.789247297587558627e-01
0.000000000000000000e+00 -3.609816435466374514e+03 2.530232160966949806e-02 5.352284644687669291e-01 9.166308162743410648e-01 2.875757448557344498e-01 5.200727201945348765e-01 8.651699042868331579e-01 4.175554323630530362e-01 5.728598527372175120e-03 3.513702979278030547e-01
0.000000000000000000e+00 -3.478021017324596414e+03 6.230780448107542391e-02 5.520071427675666831e-01 2.796269355046729910e-01 5.347324261025974135e-01 9.755308918899370241e-01 9.348740055287502182e-01 4.018581797597032823e-01 6.358995020914042229e-01 2.996073849702224345e-01
0.000000000000000000e+00 -3.422887698612173153e+03 2.337256402832674773e-01 8.493776771959347105e-01 7.320452397373471420e-01 7.282657450382072906e-01 6.281585743153772494e-01 1.995259639370031701e-01 9.016900485573856594e-01 8.829945433696807511e-01 4.843232842708703467e-01
0.000000000000000000e+00 -3.392861674954808677e+03 5.174939287052007231e-01 5.048435307323054788e-01 8.814539212938740098e-01 2.954245858048920592e-01 5.918312304546458069e-02 8.749630328082553810e-01 5.959358910363276030e-01 2.468457826672137978e-01 2.255482817527243444e-02
0.000000000000000000e+00 -3.293262336435876023e+03 4.941818696195922067e-01 6.387861962839682661e-01 3.030756012096930130e-01 2.854323262653744031e-01 3.984517503511655345e-01 3.055665488583397815e-01 8.288576618379311922e-01 1.554451449187541634e-01 1.054565193070969853e-01
0.000000000000000000e+00 -3.216981700783340784e+03 2.211857956939558001e-01 9.337392047422857777e-01 7.353428186195817284e-01 2.445801932826076053e-01 3.123151092576578192e-01 1.491150231937321546e-01 5.400129030168454580e-02 6.373671284760895617e-01 3.755713954947816902e-01
0.000000000000000000e+00 -3.146560446969385339e+03 2.119177846344275640e-01 7.773494587904999920e-01 9.621493344792785285e-01 4.999316475405435334e-01 7.466889966112221222e-01 5.455581057160296954e-02 4.847368581678916932e-01 9.352858062623871094e-01 2.835662716214661927e-01
0.000000000000000000e+00 -2.772190161328679096e+03 7.358385017913572357e-01 1.840866698873633300e-02 1.439034850571370150e-01 1.677514482035197263e-01 2.778260068510649550e-01 8.333242923842867356e-01 7.911292239063150156e-01 3.753322033524136847e-01 1.233482885310019928e-01
0.000000000000000000e+00 -2.472665877344650653e+03 7.979648404681537466e-01 4.449272042329338595e-01 6.635025212462926092e-01 1.727674114343952239e-01 3.533463597524468813e-01 9.866304239817852428e-01 8.667344022299011685e-01 7.261406906864263933e-01 1.764647380078271377e-01
0.000000000000000000e+00 -2.268884460757670695e+03 9.157817948496682625e-01 8.929710342337648932e-02 9.809415919363875247e-01 4.662862753197409837e-01 4.353586511490930011e-01 4.326551644601717150e-03 9.761218554679429449e-01 4.231034445998597127e-01 4.305339294110831494e-01
