weight logl α₁ f₁ α₂ variance ν μ A ϕ T₀
0.000000000000000000e+00 -1.306543201967416826e+04 1.284242346327184148e+00 6.952843350630749653e-02 2.913094996999131325e+00 9.599581719863213569e-02 1.240928650523982046e+00 -6.004156119916443934e-01 1.143806686764910152e+00 3.337121353957447578e+00 5.276131068732228258e+00
0.000000000000000000e+00 -1.292219500836550287e+04 1.479888848299874660e+00 6.251183382984914615e-04 2.382360825950489591e+00 5.705978468271771797e-02 7.282684483979795509e-01 2.214748022579908771e-01 3.939847819099571602e+00 5.429150189941707616e+00 5.849835306641509902e+01
0.000000000000000000e+00 -1.286155521429835790e+04 6.207179539200702312e-02 1.826078091622729271e-01 1.723629091597633778e+00 2.825856687563241612e-02 1.167572031760323537e+00 2.292927194261931145e+00 2.805234084432741692e+00 9.218981717799025200e-01 6.154559359503664382e+02
0.000000000000000000e+00 -1.245395678283956295e+04 6.914361935286978955e-01 4.224825927935503371e-03 6.993594567333220047e-01 1.227754912320965473e-02 4.876927063397580309e-01 3.734248385311827345e+00 3.707127154811505232e+00 4.855752617207087507e-01 1.753209682239767062e+02
0.000000000000000000e+00 -1.184390812681067291e+04 4.918906083576105037e-01 2.096958301807900327e+00 3.430194026513546213e+00 2.650675445063259070e-02 4.196639229763093337e-01 -8.072744344004023631e-01 3.112677204422056310e+00 3.757033530239942909e+00 1.163393739967870886e+02
0.000000000000000000e+00 -1.051421804787563269e+04 3.320560353738412629e-01 6.862897194450767735e+00 3.248857947590329864e+00 5.006991584062543688e-02 1.634705183261178973e+00 3.130554628013760166e+00 4.479791084057188399e+00 2.848879665137724060e-01 8.599972254804376348e+01
0.000000000000000000e+00 -1.035146870072596357e+04 3.774207924398394476e-01 7.411106169301179269e-02 2.417660809680412637e+00 7.670553535747101290e-03 8.304113011255763732e-01 4.940783004809993884e+00 1.014580218357779895e+00 2.589664447667770375e+00 6.992328521842395048e+02
0.000000000000000000e+00 -9.977057204855442251e+03 3.818853549344807807e-01 5.451788217296273942e+00 9.682102679934418976e-01 3.030177117543723930e-02 1.911736864953338111e-01 -2.735884781779249764e+00 2.061440004199571518e+00 3.851386344894603742e+00 3.007944112468403119e+01
0.000000000000000000e+00 -8.558630040955264121e+03 1.887154883138173478e-01 2.529564127821935515e-01 5.150214053211203957e-01 6.536309480300037285e-03 4.921964289903729695e-01 2.147503390003385526e+00 2.477231687720310660e+00 4.600993142378942302e+00 4.658723303210183531e+01
0.000000000000000000e+00 -8.364440290915241349e+03 1.876563217509780168e-01 3.478532674844441721e-04 3.775614548087344868e+00 1.677060483560269613e-02 4.553685375100095106e-02 1.598496755696439342e+00 1.092208000709021576e+00 1.220700965917077330e+00 1.957320751407057742e+02
0.000000000000000000e+00 -8.265178321923127442e+03 1.293960262405817296e+00 1.686508085856325626e-02 3.099392786232697539e+00 2.823911360209259078e-02 8.682563930976423539e-01 1.678628031358985639e+00 1.259809003710789099e+01 1.378646305017235507e+00 2.669759374053992929e+02
0.000000000000000000e+00 -8.067326046691693591e+03 8.084229594119991535e-01 2.956895884401241487e-02 3.445058648222806497e+00 5.858418198757884277e-01 3.974433127702287627e-01 5.129171146712497853e-01 9.237202208641975831e-01 3.064596429332377081e+00 4.713960961364840330e+00
0.000000000000000000e+00 -7.834576194507709261e+03 1.357451385072013794e-01 5.659793210708077282e+00 1.145085136307256946e+00 7.053587631429351912e-02 6.096170872467557844e-01 -3.524954683739311978e-01 7.101800214774284470e+00 5.941580311379058621e+00 2.353492595586444907e+02
0.000000000000000000e+00 -7.765361252943452200e+03 4.217526741938159018e-01 1.085866742228181359e+00 1.469914684295416940e+00 4.002188059634020217e-02 1.792367885237502234e+00 8.214143632118411364e-01 4.154876163209042517e+00 1.924042934664019100e+00 1.479125424688388648e+02
0.000000000000000000e+00 -6.953431556908023595e+03 5.308238818922739188e-02 7.169279704384778906e-01 1.648462878707900980e+00 2.608522700923679785e-02 1.337805870292109178e+00 2.874674833518849226e+00 2.301337852556229469e-01 3.064646135673256833e-01 5.111500114443142024e+02
0.000000000000000000e+00 -6.919493202423302137e+03 7.040951122713482446e-01 4.271992911635701020e-04 2.727890625536809832e+00 7.466477616071451329e-02 1.821704561742307771e+00 1.406533088895415951e+00 9.747251967616694657e+00 5.070177221038548510e+00 1.787952618252034540e+02
0.000000000000000000e+00 -6.831273906855823952e+03 5.281832403141792920e-01 1.524014432722604340e-01 3.998699346758583850e+00 3.721660388129304636e-02 1.471239552035344733e+00 -2.070968499046470956e+00 6.321927472588364516e+00 4.797335912815356096e+00 6.346953969244672180e+02
0.000000000000000000e+00 -6.813967909459803195e+03 4.076896370705729855e-01 7.129334956979888754e-03 2.243945088756735817e+00 6.743895293781076473e-03 9.982968463821392247e-01 1.085688957547236821e+00 1.632552928161230987e+00 6.115755314870345849e+00 4.766006299448805805e+01
0.000000000000000000e+00 -6.749354227850831194e+03 5.038104772260282305e-02 5.356701344476291204e+00 2.361948733651531906e+00 1.379480456096011422e-02 1.427106421533811176e+00 9.576823949798130009e-02 1.609302531994852181e+00 3.387807597745142285e+00 9.164304407480416970e-01
0.000000000000000000e+00 -6.512148044021851092e+03 2.547136603170429558e-01 4.346641223304200885e+00 3.801186330777361011e+00 3.052117046882809465e-02 7.898397511029016105e-01 -5.187971764411409836e-01 1.648514238472320814e+00 4.598060540500127580e+00 3.962733972512090190e+02
0.000000000000000000e+00 -6.379660679457359947e+03 1.736100455836872558e-01 2.384183263042456424e-01 2.341972030901444235e+00 6.280543018758802387e-02 1.678153448587907492e+00 1.404848868811655160e+00 4.223622275901061762e+00 5.367757927646814586e-01 2.365015986579893763e+02
0.000000000000000000e+00 -5.732511128291622299e+03 1.382581402272768045e+00 2.932941303182722281e-01 1.407023198781724327e+00 2.193450640272780194e-02 2.757203963484694542e-01 1.106788948238477621e+00 9.476664926867945482e+00 5.087224288444035736e+00 3.772279678333623565e+02
