α₁ f₁ α₂ variance ν μ c
8.663016755980177397e-01 8.574975339918095713e-03 3.102437102617460418e+00 1.532393136736577739e-02 1.325402810435977630e+00 -5.770503751092109779e-02 7.708817343810225268e-04
1.019655312067271336e+00 1.006943448239233478e-02 3.015578220890653860e+00 1.170871684009149039e-02 1.211554630248989461e+00 3.478989597779467147e-01 1.868387209124988809e-03
3.258491690359463511e-01 3.768281186489100374e-04 2.524528693359561871e+00 2.760661828582801694e-02 9.737475147388306995e-01 3.842620956800145704e-01 1.143082284487767887e-03
9.017567997079287689e-01 2.183899455255776216e-03 2.668266874675316203e+00 2.133258601542673341e-02 9.865686259178457762e-01 1.775643585499634969e-01 1.349084238705205952e-03
1.204708498674663453e+00 3.163642698835700609e-03 2.426848346268236867e+00 1.081659898227688502e-02 9.945331887338298982e-01 1.349763650386688052e-01 1.417813383569770970e-04
9.501666039916301099e-01 3.423983105651490829e-03 2.690273818188737565e+00 1.741023992695814315e-02 1.101779108108862371e+00 3.355253707686705611e-01 1.209249526084868806e-04
3.064963806330320284e-01 7.617893011815074890e-04 2.554589019972981490e+00 2.541274347845883658e-02 9.432306498211930901e-01 5.016540982229920065e-01 5.106038075838867981e-04
3.632840685116452972e-01 3.223849061018231685e-03 2.676669008231412850e+00 1.783239899186784758e-02 1.189290514291348799e+00 4.910777285851549712e-01 2.681569883205761409e-05
8.472135075067638299e-01 4.283898131732273920e-03 2.858768196462214028e+00 1.904302529896435142e-02 9.898990566858074658e-01 1.507103559015505467e-01 1.263526142769652984e-04
4.536905727748291595e-01 1.780855448379644636e-03 2.557761119499657898e+00 1.764462284697215083e-02 8.805061419858145610e-01 2.236032183572058685e-01 7.844251204539195966e-05
7.252991977454491535e-01 9.348048001585238746e-04 2.506575230944673383e+00 2.303685656554357516e-02 1.120863049623121110e+00 3.923208579646995098e-01 8.999029342951759246e-05
9.731533024680658617e-01 5.943098700408739861e-04 2.549741254453821604e+00 2.595796257103521673e-02 1.116994990038161273e+00 -1.519620769846686592e+00 2.803790249471493608e-05
9.966465353999016674e-01 3.613846851974675690e-03 2.670532960453723348e+00 1.567944652397970304e-02 1.175949037042968826e+00 1.335221296848935757e-01 4.647579655489764210e-05
1.213777745658298990e+00 1.196681756914123526e-02 3.404619623513664539e+00 2.206430944244265960e-02 1.140061514932503073e+00 3.878943989011600646e-01 6.402543846625613922e-04
3.037061053885748985e-01 2.721523484947097234e-03 2.643290481647436962e+00 1.628221801157192505e-02 1.156255181981884705e+00 2.722460845228572568e-01 2.270705926082143376e-06
2.397402952508581042e-01 2.934402394448860744e-03 2.768814386311664322e+00 2.210839719924648922e-02 1.169934193519571286e+00 2.179717467328171066e-01 5.276930846409040379e-06
6.666015141194930882e-01 5.126988019259817557e-03 3.079159054660190353e+00 3.110058829036890099e-02 1.247724195664273728e+00 -5.164040964176552784e-03 2.503537847430176279e-06
9.374923479998652498e-01 9.781074336824131799e-03 2.889817979234186485e+00 8.753850355390606353e-03 9.546505256422979091e-01 2.619356376611213788e-01 1.434101709319262306e-04
1.106892597503600584e+00 8.499159287809587848e-03 2.781144887924456022e+00 9.467406626458164248e-03 1.388512376458441722e+00 1.287273366183246670e-01 2.491998864754238088e-06
1.003378110834638903e+00 4.742452633918137900e-03 2.762107093950576076e+00 1.483368592502502803e-02 1.003266834712394306e+00 1.451366485139888307e-01 3.287487079742426436e-05
1.428816376239053221e-01 1.115868664969541565e-03 2.660496654653031534e+00 3.044900515418100598e-02 1.257229701330692118e+00 -5.433767139374777733e-01 1.734434113830646490e-03
1.240121524037682166e+00 1.598968287850494746e-02 2.877724162193948221e+00 8.050183418935801666e-03 1.008995237301032244e+00 1.669967134569025347e-01 1.139312892575049019e-04
8.605624488943930395e-01 6.958696195877332041e-03 2.852440566690948032e+00 1.135169913659627404e-02 1.065166263424851323e+00 3.088609370619636030e-01 6.633610544824017820e-06
9.919120298412931191e-01 6.637671043590739027e-04 2.488230233946055581e+00 1.925354671633427300e-02 7.956840497613432150e-01 1.901000964583260677e-01 1.655032858045274555e-05
3.252093349488539564e-01 2.049476372078591190e-03 2.878136469664112074e+00 4.107562299121170907e-02 1.208243952868025772e+00 1.503884457053270285e-01 6.302513790807796022e-03
8.210056370040408336e-02 2.283711816670699717e-03 2.932698711582160112e+00 4.624928720774994229e-02 1.010001276308802209e+00 2.651899881852317620e-01 1.166701462373838621e-06
1.200672009328737300e+00 9.049309120954623226e-03 3.160775325689891169e+00 2.205467311547004705e-02 1.103024795427382410e+00 2.776757757602209553e-01 1.080643670324023123e-03
5.475001286304169712e-01 2.182610406469721355e-03 2.540199289579486486e+00 1.751229818318722140e-02 1.112619135107090207e+00 1.496985251719484267e-01 1.923446101941759221e-04
1.169594145963085641e+00 1.883650282363244499e-02 3.250385748972391298e+00 9.169426503632251840e-03 1.147705087505674237e+00 -5.584507134022193009e-02 7.371963780403763035e-06
2.911557266548535639e-01 4.177159091606454577e-04 2.597132659194031579e+00 4.715315620968559690e-02 9.057999792519174642e-01 -9.003673033706035556e-01 6.289693894312885691e-05
1.014095460810665594e+00 1.802324413880430909e-03 2.684764243660577421e+00 2.398076888491317005e-02 9.622326777488432459e-01 -4.515952327514336506e-01 1.276219081633446408e-03
1.070866518801670164e+00 5.987623415224397477e-03 2.987593652683983692e+00 2.148891826254533191e-02 1.133636727744900208e+00 -7.290321640136432357e-03 2.811559318902331125e-04
