logz logzerr logvol nlive logl logwt insert_order
-4.476154454857515930e+02 2.749156799476473179e+00 -2.100000000000001310e-01 4.000000000000000000e+02 -4.345814510021713204e+02 -4.407841652888626527e+02 1.870000000000000107e+00
-4.407830863957854035e+02 5.336691865324263873e+00 -2.125000000000001332e-01 4.000000000000000000e+02 -4.296916392202351744e+02 -4.358968535069265045e+02 1.445000000000000062e+00
-4.358893320541583307e+02 4.974459292895575757e+00 -2.150000000000001354e-01 4.000000000000000000e+02 -4.279444795786490658e+02 -4.341521938653403936e+02 7.800000000000000266e-01
-4.339900550957382848e+02 3.312069786785479586e+00 -2.175000000000001377e-01 4.000000000000000000e+02 -4.272739361975752672e+02 -4.334841504842665927e+02 1.685000000000000053e+00
-4.330122986363941209e+02 3.410175202840508124e+00 -2.200000000000001399e-01 4.000000000000000000e+02 -4.060170924939847623e+02 -4.122298067806760855e+02 1.260000000000000009e+00
-4.122298067797335648e+02 1.211705837492126214e+01 -2.225000000000001421e-01 4.000000000000000000e+02 -4.041682380458596526e+02 -4.103834523325509736e+02 1.665000000000000036e+00
-4.102369208087808943e+02 9.600397567903712570e+00 -2.250000000000001443e-01 4.000000000000000000e+02 -3.905005086086016490e+02 -3.967182228952929677e+02 1.995000000000000107e+00
-3.967182215497306856e+02 6.120717586418050082e+00 -2.275000000000001465e-01 4.000000000000000000e+02 -3.897664005904820783e+02 -3.959866148771733947e+02 8.500000000000000611e-02
-3.955938059606432375e+02 4.076519831851917353e+00 -2.300000000000001488e-01 4.000000000000000000e+02 -3.896004119647586776e+02 -3.958231262514499917e+02 3.900000000000000133e-01
-3.950087598042409809e+02 4.303157223055372071e+00 -2.325000000000001510e-01 4.000000000000000000e+02 -3.872018493424690178e+02 -3.934270636291603296e+02 2.849999999999999756e-01
-3.932400646747121300e+02 1.267134704912014298e+00 -2.350000000000001532e-01 4.000000000000000000e+02 -3.802592008857122892e+02 -3.864869151724035987e+02 1.340000000000000080e+00
-3.864857486553154899e+02 3.540989009374884589e+00 -2.375000000000001554e-01 4.000000000000000000e+02 -3.766791326772305410e+02 -3.829093469639218483e+02 3.599999999999999867e-01
-3.828817549641789810e+02 5.027909229395382873e+00 -2.400000000000001577e-01 4.000000000000000000e+02 -3.734506348757317937e+02 -3.796833491624230987e+02 1.590000000000000080e+00
-3.796433333434907809e+02 2.172560057727215277e+00 -2.425000000000001599e-01 4.000000000000000000e+02 -3.706438495769202746e+02 -3.768790638636115773e+02 1.915000000000000036e+00
-3.768179479540602870e+02 2.992286521051793269e+00 -2.450000000000001621e-01 4.000000000000000000e+02 -3.704112340097274227e+02 -3.766489482964187232e+02 5.799999999999999600e-01
