17:44:02 [ultranest] [DEBUG] ReactiveNestedSampler: dims=7+0, resume=True, log_dir=inference/simu_single_steep, backend=hdf5, vectorized=False, nbootstraps=30, ndraw=128..65536
17:44:05 [ultranest] [INFO] Sampling 400 live points from prior ...
17:44:07 [ultranest] [DEBUG] run_iter dlogz=0.5, dKL=0.5, frac_remain=0.01, Lepsilon=0.0010, min_ess=400
17:44:07 [ultranest] [DEBUG] max_iters=-1, max_ncalls=-1, max_num_improvement_loops=-1, min_num_live_points=400, cluster_num_live_points=40
17:44:07 [ultranest] [DEBUG] minimal_widths_sequence: [(-inf, 400.0), (inf, 400.0)]
17:44:10 [ultranest] [DEBUG] iteration=400, ncalls=1150, regioncalls=30280, ndraw=40, logz=494.54, remainder_fraction=100.0000%, Lmin=506.04, Lmax=1016.06
17:44:10 [ultranest] [DEBUG] iteration=412, ncalls=1188, regioncalls=31840, ndraw=40, logz=507.03, remainder_fraction=100.0000%, Lmin=513.72, Lmax=1016.06
17:44:10 [ultranest] [DEBUG] iteration=426, ncalls=1222, regioncalls=33240, ndraw=40, logz=531.81, remainder_fraction=100.0000%, Lmin=538.45, Lmax=1016.06
17:44:10 [ultranest] [DEBUG] iteration=440, ncalls=1252, regioncalls=34440, ndraw=40, logz=553.64, remainder_fraction=100.0000%, Lmin=561.12, Lmax=1019.28
17:44:10 [ultranest] [DEBUG] iteration=450, ncalls=1273, regioncalls=35280, ndraw=40, logz=572.53, remainder_fraction=100.0000%, Lmin=580.61, Lmax=1019.28
17:44:10 [ultranest] [DEBUG] iteration=459, ncalls=1311, regioncalls=36800, ndraw=40, logz=581.33, remainder_fraction=100.0000%, Lmin=589.58, Lmax=1019.28
17:44:11 [ultranest] [DEBUG] iteration=473, ncalls=1345, regioncalls=38160, ndraw=40, logz=595.37, remainder_fraction=100.0000%, Lmin=601.87, Lmax=1019.28
17:44:11 [ultranest] [DEBUG] iteration=480, ncalls=1360, regioncalls=38760, ndraw=40, logz=607.43, remainder_fraction=100.0000%, Lmin=613.84, Lmax=1019.28
17:44:11 [ultranest] [DEBUG] iteration=495, ncalls=1394, regioncalls=40120, ndraw=40, logz=623.22, remainder_fraction=100.0000%, Lmin=630.80, Lmax=1019.28
17:44:11 [ultranest] [DEBUG] iteration=508, ncalls=1428, regioncalls=41480, ndraw=40, logz=637.29, remainder_fraction=100.0000%, Lmin=644.48, Lmax=1019.28
