17:27:36 [ultranest] [DEBUG] ReactiveNestedSampler: dims=8+0, resume=True, log_dir=inference/simu_double, backend=hdf5, vectorized=False, nbootstraps=30, ndraw=128..65536
17:27:38 [ultranest] [INFO] Sampling 400 live points from prior ...
17:27:39 [ultranest] [DEBUG] run_iter dlogz=0.5, dKL=0.5, frac_remain=0.01, Lepsilon=0.0010, min_ess=400
17:27:39 [ultranest] [DEBUG] max_iters=-1, max_ncalls=-1, max_num_improvement_loops=-1, min_num_live_points=400, cluster_num_live_points=40
17:27:39 [ultranest] [DEBUG] minimal_widths_sequence: [(-inf, 400.0), (inf, 400.0)]
17:27:41 [ultranest] [DEBUG] iteration=720, ncalls=2061, regioncalls=67160, ndraw=40, logz=864.10, remainder_fraction=100.0000%, Lmin=870.40, Lmax=1021.63
17:27:41 [ultranest] [DEBUG] iteration=739, ncalls=2164, regioncalls=71280, ndraw=40, logz=870.64, remainder_fraction=100.0000%, Lmin=878.26, Lmax=1021.63
17:27:41 [ultranest] [DEBUG] iteration=760, ncalls=2243, regioncalls=74440, ndraw=40, logz=877.82, remainder_fraction=100.0000%, Lmin=884.49, Lmax=1021.63
17:27:41 [ultranest] [DEBUG] iteration=791, ncalls=2335, regioncalls=78200, ndraw=40, logz=893.52, remainder_fraction=100.0000%, Lmin=900.28, Lmax=1021.63
17:27:41 [ultranest] [DEBUG] iteration=800, ncalls=2361, regioncalls=79240, ndraw=40, logz=896.59, remainder_fraction=100.0000%, Lmin=905.37, Lmax=1021.63
17:27:41 [ultranest] [DEBUG] iteration=820, ncalls=2454, regioncalls=83040, ndraw=40, logz=903.63, remainder_fraction=100.0000%, Lmin=910.23, Lmax=1021.63
17:27:41 [ultranest] [DEBUG] iteration=840, ncalls=2543, regioncalls=86640, ndraw=40, logz=909.11, remainder_fraction=100.0000%, Lmin=915.56, Lmax=1021.63
17:27:42 [ultranest] [DEBUG] iteration=858, ncalls=2644, regioncalls=90840, ndraw=40, logz=913.33, remainder_fraction=100.0000%, Lmin=919.67, Lmax=1021.63
17:27:42 [ultranest] [DEBUG] iteration=880, ncalls=2739, regioncalls=94760, ndraw=40, logz=918.49, remainder_fraction=100.0000%, Lmin=925.63, Lmax=1021.63
17:27:42 [ultranest] [DEBUG] iteration=900, ncalls=2855, regioncalls=99400, ndraw=40, logz=923.35, remainder_fraction=100.0000%, Lmin=929.92, Lmax=1021.63
17:27:42 [ultranest] [DEBUG] iteration=919, ncalls=2955, regioncalls=103560, ndraw=40, logz=927.70, remainder_fraction=100.0000%, Lmin=934.51, Lmax=1021.63
17:27:42 [ultranest] [DEBUG] iteration=920, ncalls=2960, regioncalls=103760, ndraw=40, logz=927.90, remainder_fraction=100.0000%, Lmin=934.66, Lmax=1021.63
17:27:42 [ultranest] [DEBUG] iteration=938, ncalls=3062, regioncalls=108000, ndraw=40, logz=930.36, remainder_fraction=100.0000%, Lmin=937.34, Lmax=1021.63
17:27:42 [ultranest] [DEBUG] iteration=960, ncalls=3132, regioncalls=110920, ndraw=40, logz=934.94, remainder_fraction=100.0000%, Lmin=942.02, Lmax=1021.63
17:27:42 [ultranest] [DEBUG] iteration=985, ncalls=3231, regioncalls=114920, ndraw=40, logz=941.05, remainder_fraction=100.0000%, Lmin=947.85, Lmax=1021.63
17:27:42 [ultranest] [DEBUG] iteration=999, ncalls=3322, regioncalls=118640, ndraw=40, logz=943.64, remainder_fraction=100.0000%, Lmin=950.37, Lmax=1021.63
17:27:42 [ultranest] [DEBUG] iteration=1000, ncalls=3326, regioncalls=118800, ndraw=40, logz=943.79, remainder_fraction=100.0000%, Lmin=950.72, Lmax=1021.63
17:27:42 [ultranest] [DEBUG] iteration=1015, ncalls=3430, regioncalls=123000, ndraw=40, logz=946.90, remainder_fraction=100.0000%, Lmin=953.54, Lmax=1021.63
17:27:42 [ultranest] [DEBUG] iteration=1037, ncalls=3545, regioncalls=127680, ndraw=40, logz=949.78, remainder_fraction=100.0000%, Lmin=956.42, Lmax=1021.63
17:27:42 [ultranest] [DEBUG] iteration=1040, ncalls=3574, regioncalls=128840, ndraw=40, logz=950.29, remainder_fraction=100.0000%, Lmin=957.75, Lmax=1021.63
17:27:43 [ultranest] [DEBUG] iteration=1057, ncalls=3685, regioncalls=133320, ndraw=40, logz=953.97, remainder_fraction=100.0000%, Lmin=960.64, Lmax=1021.63
17:27:43 [ultranest] [DEBUG] iteration=1069, ncalls=3793, regioncalls=137840, ndraw=40, logz=956.26, remainder_fraction=100.0000%, Lmin=963.80, Lmax=1021.63
17:27:43 [ultranest] [DEBUG] iteration=1080, ncalls=3844, regioncalls=139920, ndraw=40, logz=958.48, remainder_fraction=100.0000%, Lmin=965.86, Lmax=1021.63
17:27:43 [ultranest] [DEBUG] iteration=1097, ncalls=3945, regioncalls=144080, ndraw=40, logz=961.06, remainder_fraction=100.0000%, Lmin=967.54, Lmax=1021.63
17:27:43 [ultranest] [DEBUG] iteration=1117, ncalls=4053, regioncalls=148400, ndraw=40, logz=963.08, remainder_fraction=100.0000%, Lmin=970.07, Lmax=1021.63
17:27:43 [ultranest] [DEBUG] iteration=1120, ncalls=4061, regioncalls=148760, ndraw=40, logz=963.51, remainder_fraction=100.0000%, Lmin=970.35, Lmax=1021.63
