α₁ f₁ α₂ variance ν μ c
3.274310657387100032e-01 5.681937583393155584e-03 3.051787469621261462e+00 5.411317913795925943e-02 1.004195478785083084e+00 2.553387084318804456e-01 1.614092387112656514e-03
4.536203224985923543e-01 5.681488347432190819e-03 2.895568685749589033e+00 6.928792961757913871e-02 9.765271964882328293e-01 -3.600437597840788762e-03 1.499695734478683330e-04
1.229617246466911062e+00 1.352177338659982589e-02 3.455641064886671998e+00 1.496239615545793267e-01 1.262761519211616834e+00 -7.264417315680171683e-03 6.164350719875579259e-05
1.082549508618569245e+00 5.732309811409906815e-03 2.739351318920322242e+00 1.574439113079614261e-01 8.522237911372535502e-01 -3.438749016991415886e-02 9.267332035124607479e-06
8.362431297270579433e-01 7.087293557478706145e-03 3.297696020450876730e+00 1.348147851160909627e-01 1.291645758103334485e+00 2.458741329745481874e-01 1.924579484714488591e-05
9.970594951105453685e-01 4.309868342130529321e-03 2.736776159907379657e+00 1.604198800984906470e-01 1.023047323501987904e+00 7.438742329826910638e-01 1.424883811840248074e-03
1.233778813945772601e+00 9.392615889995452327e-03 3.063648790527097709e+00 1.598923539886817347e-01 1.008327908304158749e+00 4.146911813231569655e-01 7.117688746078295930e-05
8.379596252879272233e-01 4.948657436659595170e-03 2.820608732201371982e+00 7.640812388969607516e-02 8.059169519689477479e-01 1.570023408725421121e-01 2.383772581431671525e-05
5.061150493550894969e-02 4.377712831689905063e-03 3.140201778042913894e+00 6.511469072869278951e-02 1.049405081906497728e+00 2.156545062428859849e-01 6.531438172546020636e-05
1.128060635061317374e+00 3.765920508981244596e-03 2.829254638651725884e+00 3.458885582448106844e-01 9.877194585491100298e-01 6.524637590053752323e-01 3.382022602005353381e-04
4.435491786972782791e-01 6.463699063831002817e-03 3.081102040380509610e+00 4.521277623548660557e-02 1.057463860465712946e+00 2.442951960704132508e-01 1.282295654986115650e-06
1.040490378365621860e+00 1.765147268455066450e-03 2.532696588736803811e+00 3.651563253931209285e-01 7.567231668656513310e-01 3.008666081020039407e-01 1.216090963949845042e-04
1.162672534736210128e+00 6.054628799007422124e-03 3.105056349462755882e+00 2.145866997578617652e-01 1.108228893001117488e+00 1.940489844107075867e-01 9.110080467213463448e-05
6.109491922167119560e-01 7.129009519410550548e-03 2.837400759644858272e+00 2.844958489092512186e-02 1.026602760595019648e+00 5.116859593764816472e-02 1.398419518042609460e-06
8.603957520141031212e-01 8.016192402553167992e-03 2.738405950721188198e+00 4.523025217976259921e-02 9.527219326885075779e-01 2.261968346608089209e-01 2.328473448637020080e-06
8.755225312589014486e-01 4.538414489460190424e-03 2.718910397253226474e+00 9.541241943964044736e-02 9.785825360255713257e-01 5.805782236297594157e-01 1.005037176616410346e-04
6.770015647676875803e-01 4.173110368635017317e-03 2.432883911490633988e+00 4.831678711105703156e-02 1.061491415570968488e+00 1.003969932604915072e-01 1.105404232037211359e-06
3.296497492427433729e-01 2.381771191382743395e-03 2.775895466412585666e+00 1.531261452873332318e-01 1.095267146654785195e+00 8.094690680050473097e-02 5.182590021574904129e-04
6.868745518186833987e-01 3.531964283182430046e-03 3.152962755753665469e+00 2.003066848342202888e-01 1.370984795691581271e+00 3.344161783698397783e-01 3.089221706355734279e-05
5.506129385033469159e-01 6.029891494455870242e-03 2.996339662186059627e+00 5.779547708850560350e-02 1.219707922486515939e+00 3.733567791293924687e-01 3.675610844079179110e-04
9.905708150807958079e-01 9.557763318027646254e-03 3.144727728596891314e+00 9.878633014875529139e-02 1.053713530248068686e+00 2.797647955311792778e-01 1.523277799681117073e-05
1.128218212187499292e+00 1.191272771520598614e-02 3.400168103859511959e+00 1.416549839042662573e-01 9.115164614180464309e-01 8.596944913599336990e-01 1.815062803514091083e-03
1.111385416949570937e+00 1.676088918061690441e-02 3.805544117543758986e+00 8.183110347961224107e-02 9.120223549679978836e-01 1.956567521806419907e-01 2.381909619353124932e-06
1.188072645349973699e+00 1.066018006351852378e-02 3.111017381138622362e+00 1.702839322786911247e-01 9.893971878186528235e-01 2.839590898232050020e-01 1.717603728267413227e-03
1.165050738417988008e+00 1.656305493819545602e-02 3.619448273650947012e+00 1.076356790717900441e-01 1.114501442986089108e+00 1.173114167470036273e-01 3.003453907750696229e-04
6.215068641318456377e-01 1.418159158600956152e-03 2.397316069578838693e+00 1.610095064169468904e-01 1.006777098781864721e+00 -1.946047361950985488e-01 1.108295458259583369e-05
8.937617991749138291e-01 5.827940960893240180e-03 3.226751090533455102e+00 1.475308387448793501e-01 1.186972624400406406e+00 2.531741065297280491e-01 4.031394629015507432e-06
3.496264289406444403e-01 3.233331657268515968e-03 2.743712914960780402e+00 8.143941700319436150e-02 9.892295147488208151e-01 1.346938657189845623e-01 5.152291717398159139e-04
1.032472878797550120e+00 7.464986193423458517e-03 3.119196455681618296e+00 1.438390392156262410e-01 1.259488271875301768e+00 1.938220412670757509e-01 2.113142760559803379e-04
3.793223329531389409e-01 9.341164527470464767e-04 2.289223537409689424e+00 1.311126724991282799e-01 9.059537813129928674e-01 7.329221387168909363e-01 6.407844755914877781e-05
1.085388212371839245e+00 1.322073652213648365e-02 3.586157039739375385e+00 1.147145755270250755e-01 1.222906841085170004e+00 1.552169184929302892e-02 5.029084591648842186e-05
8.679484580949645700e-01 4.799097132938658777e-03 3.351057365918635789e+00 2.653614251865088480e-01 1.358913588497204561e+00 1.761012186986441463e-01 1.090203787683780056e-03
9.528134699176211697e-01 1.180179491366665622e-03 2.570561420138258946e+00 5.026546266334408486e-01 1.075076156637222669e+00 2.431200476368838292e-01 4.165368529120025377e-05
4.506003062661359526e-01 2.584860176907172093e-03 2.776883654516444366e+00 1.297809030008921782e-01 9.401522933449977248e-01 1.927675142821297372e-01 9.919012241822292876e-06
8.754225250727221130e-01 2.786060847119114798e-03 2.746558082109021193e+00 2.213543518094582552e-01 1.106325085472043224e+00 3.216984109732590191e-03 2.741817577813952193e-05
4.818558488056513545e-01 9.223409892959371498e-03 3.419506688570010500e+00 6.165973750800796821e-02 1.105575090648231562e+00 4.991256885391834319e-02 1.343625749305441199e-06
4.156672824394274102e-01 2.624473837638856711e-03 2.684028686897333316e+00 7.286544497196541237e-02 1.246583850201009147e+00 1.969415506324463938e-01 3.394447487615780471e-05
1.062356781819921547e+00 5.263721190858247460e-03 2.491238220119343261e+00 1.004590759697928798e-01 9.670297741493173449e-01 1.518277320455651835e-01 2.535183500118002786e-05
1.040714768419126246e+00 1.303166949072093184e-02 3.506244891947694065e+00 1.024245510188196845e-01 1.283638203392891253e+00 1.673979691515917190e-01 1.046648444353879469e-04
4.998677021149227073e-01 3.634726337726059374e-03 2.683519055337411974e+00 5.882207707920716899e-02 1.058652466560523697e+00 2.669632445844849489e-02 2.028125480908286318e-04
2.663104409049472654e-01 1.836005296486113367e-03 2.551678648517675896e+00 1.035302336967084819e-01 1.040984652962064327e+00 3.485969077627393276e-01 3.156447132647285899e-06
9.337604441589213433e-01 6.137543853147870571e-03 3.156187110155164177e+00 1.324147061177424756e-01 1.094096682449721802e+00 2.430471524049628573e-01 2.237235009266862250e-05
1.193726252196948945e+00 8.383717447951915744e-03 3.109239442829579758e+00 1.458011731869790772e-01 1.021125714385490157e+00 3.959761687747422321e-01 9.026447712429557294e-05
6.837675419878175287e-03 1.057932957406672314e-03 2.728250257446196425e+00 2.896172502124932935e-01 1.013016187008724200e+00 2.735422556172391051e-01 6.690349805629735832e-04
1.097709164972458851e+00 7.170953188371950726e-03 2.764141961131066250e+00 9.302078404710126258e-02 1.170279354297940166e+00 3.965966532407906864e-01 1.207111744763262424e-03
9.457179493974350315e-01 5.270870879845640337e-03 2.902993118851763477e+00 1.374670623320801699e-01 1.045775558252145743e+00 4.636248864705041495e-01 1.023993562563365418e-03
4.450671046622131644e-01 2.811349518964499725e-03 2.994707183228891179e+00 1.606773576659903668e-01 8.926118398494240491e-01 1.200485870950225020e-01 1.645603211801041291e-05
1.033908427662508567e+00 7.616489964444974128e-03 2.809951102483374541e+00 9.293767800023985948e-02 1.018847901638124887e+00 3.778546802588738096e-01 8.322250726781812036e-05
5.284374746058341232e-01 7.783854823150930871e-03 3.225708920597520901e+00 4.258405149342286977e-02 9.955202237222628980e-01 2.344770200157546003e-01 6.326046079740212146e-04
1.220414928136582144e+00 1.011057360746598147e-02 3.200511646660546550e+00 1.905423607776491335e-01 1.419891126056412434e+00 2.974743197221874635e-01 3.985336902947488529e-06
7.665076871942410053e-01 9.000355806749531576e-03 3.439175567137445100e+00 5.313240190487555220e-02 9.802661248742371436e-01 3.697574276818058059e-01 1.752967728112441106e-06
7.242684314834872961e-01 4.096568975428891389e-03 2.680411995886637477e+00 7.881233792174019426e-02 9.366061172362522003e-01 2.926994117865482359e-01 3.549806494245679210e-05
4.661651319959705386e-01 4.416822195620278592e-03 2.977154345351708642e+00 7.502924782620920552e-02 1.044435347289283333e+00 3.047098940472973139e-01 3.857202521385807661e-06
5.963046987457094605e-01 8.142363653192135481e-03 3.488521807201050429e+00 8.970032938813267409e-02 8.741649466536896007e-01 7.323866133079726115e-03 1.801784004266627972e-04
1.244693354997641777e+00 1.944934106991239378e-02 3.306798190432288731e+00 9.028498544792915026e-02 9.114899306971228077e-01 4.513183241013665192e-01 3.202503567619484493e-06
7.477091253941356985e-01 3.497136027187704426e-03 2.462697139487072029e+00 6.548039340456138224e-02 8.844216056146860794e-01 1.969905956527224777e-01 9.056879954588110618e-06
1.001826592476773081e+00 4.563724041623694848e-03 2.839102144216005819e+00 1.606410010801008481e-01 1.046289595768253200e+00 -1.343924901434661034e-01 1.350657322724916351e-03
