weight logl α₁ f₁ α₂ f₂ α₃ variance ν μ
0.000000000000000000e+00 -4.047935324360791128e+03 2.170379503986585856e-02 8.619302620016974226e-01 7.796254552236382418e-01 6.630975000269409003e-01 7.705253147725694696e-01 1.912542006822192109e-01 2.805535382962636159e-01 1.905721005373015586e-01
0.000000000000000000e+00 -3.971312284214650845e+03 1.903931174302033735e-01 5.007863588992663706e-01 7.862603446243732197e-02 6.332052253980318124e-01 3.048957041918468613e-01 7.569625069286312069e-02 3.640618135384043885e-01 1.379307670536683572e-01
0.000000000000000000e+00 -3.953025638339294801e+03 2.494398896238314567e-01 8.309881318348741885e-01 4.364946806791744072e-01 1.372046952479690773e-01 5.529522300730183026e-01 3.731894695864212963e-04 9.169393124712869048e-01 4.575148387481304812e-01
0.000000000000000000e+00 -3.284900926177897418e+03 1.977360239214380755e-01 8.764618398080068484e-01 3.234951628217629382e-01 7.637285938845302935e-01 5.724801068939511239e-02 5.680759892102433817e-01 5.729836152754539391e-01 7.242975308978105708e-03
0.000000000000000000e+00 -3.237820886922868340e+03 1.863894845980386128e-01 5.944238664285315110e-01 2.853948852296608329e-01 7.005123345968448101e-01 5.371482409900607546e-01 1.984083363686472978e-02 8.832124298765234860e-01 6.824951886676721147e-01
0.000000000000000000e+00 -2.767924916121256501e+03 7.344196001319762690e-01 9.352026936263874157e-01 4.439869228170326698e-01 6.088953792745798177e-01 8.086062699897411665e-01 7.645241900991917028e-03 7.953178041077746396e-01 9.830812069985722657e-01
0.000000000000000000e+00 -2.681440590686742325e+03 1.467091377950969777e-01 9.144750084959720748e-01 5.593532180152375188e-01 8.080246127161774261e-01 3.208749765515261920e-02 3.847385667131966169e-01 1.709170026526165564e-01 7.671586441593147843e-02
0.000000000000000000e+00 -2.570163405533308833e+03 3.336181023879569718e-01 9.463052467015216074e-01 7.821446143782356808e-01 4.888326650499921211e-01 2.638641489322933742e-01 2.556103328964622889e-01 2.761021575232724956e-01 9.305338467849497697e-01
0.000000000000000000e+00 -2.405121916051377411e+03 2.179466799130564958e-01 6.152531038805519881e-01 1.523628082652832560e-01 8.270053150465690450e-01 6.778168683397556293e-01 6.032837850344441311e-02 3.067911644138362481e-01 2.050695939039002269e-01
0.000000000000000000e+00 -2.216367562743470899e+03 2.660561424508801620e-01 7.492258872285009197e-01 8.173087876606732749e-02 6.049675281054069931e-01 4.581588404808973891e-01 4.394903437394862555e-01 3.712030067296143709e-01 9.560401515140463102e-01
0.000000000000000000e+00 -2.155228869055322775e+03 1.606384966401410708e-01 7.926049943352606597e-01 1.857186695436212620e-01 1.553622984189038103e-01 7.618770317060444830e-01 5.115479801499414059e-01 1.186414339598500511e-01 9.011984347872666890e-01
