logz logzerr logvol nlive logl logwt insert_order
-2.687475804973433696e+03 3.284124512737206913e+01 -4.500000000000000527e-02 4.000000000000000000e+02 -2.570163405533308833e+03 -2.576201119820000258e+03 3.900000000000000133e-01
-2.576201119820000258e+03 5.245303830129029166e+01 -4.750000000000000749e-02 4.000000000000000000e+02 -2.405121916051377411e+03 -2.411162130338068891e+03 4.349999999999999978e-01
-2.411162130338068891e+03 1.090710020798807420e+02 -5.000000000000000971e-02 4.000000000000000000e+02 -2.216367562743470899e+03 -2.222410277030162433e+03 1.665000000000000036e+00
-2.222410277030162433e+03 1.155036862767743031e+02 -5.250000000000001193e-02 4.000000000000000000e+02 -2.155228869055322775e+03 -2.161274083342013910e+03 1.800000000000000044e+00
-2.161274083342013910e+03 9.106865506388676579e+01 -5.500000000000001416e-02 4.000000000000000000e+02 -1.991198198143426907e+03 -1.997245912430118324e+03 1.165000000000000036e+00
-1.997245912430118324e+03 8.117124949609581108e+01 -5.750000000000001638e-02 4.000000000000000000e+02 -1.664221955225488728e+03 -1.670272169512179971e+03 1.310000000000000053e+00
-1.670272169512179971e+03 1.611499594992511106e+02 -6.000000000000001860e-02 4.000000000000000000e+02 -1.640413066461890139e+03 -1.646465780748581437e+03 1.784999999999999920e+00
-1.646465780748535508e+03 1.269290181264809547e+02 -6.250000000000001388e-02 4.000000000000000000e+02 -1.489350725498958582e+03 -1.495405939785649934e+03 9.100000000000000311e-01
-1.495405939785649934e+03 1.781668963710814353e+02 -6.500000000000001610e-02 4.000000000000000000e+02 -1.447493745847199762e+03 -1.453551460133891169e+03 1.739999999999999991e+00
-1.453551460133891169e+03 8.110253671011560073e+01 -6.750000000000001832e-02 4.000000000000000000e+02 -1.426304175216106159e+03 -1.432364389502797394e+03 1.935000000000000053e+00
-1.432364389502168478e+03 5.884409854102177917e+01 -7.000000000000002054e-02 4.000000000000000000e+02 -1.355565229016543071e+03 -1.361627943303234360e+03 9.200000000000000400e-01
