α₁ f₁ α₂ f₂ α₃ variance ν μ
7.434307356052218818e-01 5.638071403267859785e-03 2.405623008651703199e+00 4.340478953092790498e-02 3.613353489546831554e+00 1.208350713028986077e-02 1.172951094774433933e+00 1.257736372380727219e-01
1.314827872028491440e-01 1.632622929080424163e-03 2.676336520413843623e+00 6.161477396764852843e-01 2.690446835357554356e+00 3.629334525370765674e-02 1.063470621039542818e+00 3.110516677692187759e-01
2.670028972913018328e-01 1.480187953197615669e-03 1.164474156777494329e+00 2.282865124013874064e-03 2.756176198771290053e+00 2.444910821229907480e-02 1.076467161759233848e+00 2.976517343394309845e-01
1.034708997127364860e+00 7.965722139197482917e-04 2.098932550821871246e+00 6.340374718566206547e-02 3.123946257750497502e+00 1.091317901654997174e-02 1.120976999593187751e+00 4.041270257480778505e-01
1.120949899157494212e+00 7.876726888669424416e-04 2.525114717230407813e+00 1.003028755982050768e+00 3.275930222434126904e+00 2.985326554238512328e-02 1.122156755428057817e+00 -3.064316549082337637e-01
3.877904069602219894e-01 5.719454934287925355e-04 8.300238214583637308e-01 1.594705096733171901e-03 2.340353485406700518e+00 9.840209297489271867e-03 8.807968284229782396e-01 3.145422089197080773e-02
4.395424529378078038e-02 1.631484326027379242e-03 2.486369129167107506e+00 1.027697598469862611e-01 2.511410552618760672e+00 2.121762279383796607e-02 8.528942941814042777e-01 3.739396228176917747e-01
4.495886066661968217e-01 5.315423994413428230e-04 1.873583454627275380e+00 4.060175477669778626e-02 3.488865094088969165e+00 1.545988088313200899e-02 1.114757195607072982e+00 1.294824611911291334e-01
1.120218865592712332e+00 1.357866298077854824e-03 2.656366366903368359e+00 2.566189423728846286e-01 2.732469086459145213e+00 4.211432609701722118e-02 1.039644933301427265e+00 -2.042316458730052187e+00
9.864072910057941623e-01 1.344101254302354454e-03 2.043702935960542089e+00 4.286480249023000288e-02 3.223773526762728991e+00 1.108164225309518983e-02 9.609410112948417737e-01 2.146238941443802672e-01
1.100678722882201477e+00 3.878385294619485744e-03 2.313816987911720524e+00 3.579957768785856087e-02 3.452743022400752260e+00 1.415631974768852969e-02 1.216256218650538123e+00 3.691208219227515852e-01
1.225246114345746040e-01 2.220214671229844578e-03 2.679212679830027533e+00 3.064200495500162824e-01 3.733098303307279320e+00 2.008065535916912434e-02 1.261861181527162756e+00 2.986548716348131904e-01
3.490649315465709779e-01 1.609565049177358450e-03 1.556061833176253462e+00 2.715002216904917418e-03 2.637829715776269346e+00 1.548510657883105969e-02 1.154954505636048401e+00 -1.168176358580441665e-02
5.401945615926405653e-01 1.070764374095938779e-03 2.041755030512553581e+00 3.402327858764182811e-02 3.402582634599741418e+00 1.349838454376044335e-02 1.365694158659014334e+00 4.121277920860350052e-01
