weight logl α₁ f₁ α₂ f₂ α₃ variance ν μ
0.000000000000000000e+00 -3.237820886922868340e+03 2.329868557475482660e-01 1.411768815733265847e-01 1.308073139710100641e+00 2.791753154375155255e+00 2.754036917588717159e+00 2.714617221959817611e-03 1.846799055241568288e+00 8.429077364125409089e-01
0.000000000000000000e+00 -2.767924916121256501e+03 9.180245001649702807e-01 5.062849211382682846e+00 2.286381318534211005e+00 7.662800445013138173e+00 3.672024128739001192e+00 1.612340181751788183e-03 1.481699337585998144e+00 2.681517589916508904e+00
0.000000000000000000e+00 -2.681440590686742325e+03 1.833864222438712221e-01 4.072258989498307002e+00 2.318221508882410742e+00 8.415850228565984636e+00 2.372185572272632381e+00 3.289456386495243773e-02 3.715501743679824331e-01 -1.280188867839418432e+00
0.000000000000000000e+00 -2.570163405533308833e+03 4.170226279849462148e-01 5.689115983584311032e+00 3.219429082945604925e+00 7.495263356469720861e+00 3.425393763655462553e+00 1.966232546548895774e-02 5.161235743706921175e-01 1.964715835281166445e+00
0.000000000000000000e+00 -2.405121916051377411e+03 2.724333498913206197e-01 1.757059498244110951e-01 8.403758726978934890e-01 4.970011435525633736e+00 2.982022403796540821e+00 5.544816457399052816e-03 5.579540094112888093e-01 -6.061989891112372630e-01
0.000000000000000000e+00 -2.216367562743470899e+03 3.325701780636002303e-01 7.177441741009482623e-01 6.323124402233439856e-01 3.532408110131810997e+00 2.175248267712559525e+00 4.014207344166328961e-02 6.472161222170910166e-01 2.217737272520304614e+00
0.000000000000000000e+00 -2.155228869055322775e+03 2.007981208001763385e-01 1.132048305031689406e+00 9.063808391327933256e-01 1.588029893386844860e+00 3.263338222643244801e+00 5.186776615513186139e-02 2.950333526608510670e-01 1.751124733341517636e+00
0.000000000000000000e+00 -1.991198198143426907e+03 1.846068541107427630e-01 1.067858734310784402e-01 2.269620037789945144e+00 2.084109378608297591e-01 2.573071727016792209e+00 1.594487551333692230e-02 1.648627615546949254e+00 -1.623539043722200592e+00
0.000000000000000000e+00 -1.664221955225488728e+03 1.019017076434591829e-03 4.961876990933697384e-01 3.448361570389747222e+00 7.398270867228101677e-01 3.760806354745677815e+00 2.924103051565260861e-02 5.406371888459232666e-01 1.060279462896774216e+00
0.000000000000000000e+00 -1.640413066461890139e+03 3.411259806797295457e-04 6.912653978544904985e-04 3.635790369862598181e-01 1.884850052874750270e+00 8.047655383133893725e-01 2.196196221374238037e-03 8.613126221321054654e-01 -2.418430213236136828e-01
0.000000000000000000e+00 -1.489350725498958582e+03 2.360160606077742196e-01 1.306004836107913292e+00 3.341257879531824848e+00 3.640356031713204210e+00 3.637505841067813162e+00 3.586008899806374106e-02 1.313958050955759571e+00 -1.007296918169869659e+00
0.000000000000000000e+00 -1.447493745847199762e+03 4.734324414961355032e-01 8.870789285871231167e-01 1.756603598008901868e+00 8.858740983749294529e+00 3.385484418717194188e+00 2.082521455875539079e-02 2.473646744449181423e+00 1.921064757073547291e+00
0.000000000000000000e+00 -1.426304175216106159e+03 1.504532513215309231e-01 1.052229988155912177e-01 1.384752852834035153e+00 3.785983880517740374e-01 2.804483579830591822e+00 5.104336701233436885e-03 1.485947948601887392e+00 8.769709265699928702e-01
0.000000000000000000e+00 -1.355565229016543071e+03 1.926408300906476412e-01 7.343521426085310999e-01 1.740099001983996141e+00 1.460793287595486989e+00 3.839885029935857119e+00 1.676627592392977428e-01 1.112482097634249323e+00 2.237972624773498787e+00
0.000000000000000000e+00 -1.206857946071661900e+03 3.270302525253532266e-01 1.301198178801689309e+00 2.299459095866174252e+00 8.505319593034185388e+00 2.662648571473184234e+00 6.562393674914691888e-02 1.094207615873730388e+00 -1.576065352658772678e+00
