18:59:49 [ultranest] [DEBUG] ReactiveNestedSampler: dims=9+0, resume=True, log_dir=inference/simu_periodic_rednoise_123_factor, backend=hdf5, vectorized=False, nbootstraps=30, ndraw=128..65536
18:59:52 [ultranest] [INFO] Sampling 400 live points from prior ...
18:59:53 [ultranest] [DEBUG] run_iter dlogz=0.5, dKL=0.5, frac_remain=0.01, Lepsilon=0.0010, min_ess=400
18:59:53 [ultranest] [DEBUG] max_iters=-1, max_ncalls=-1, max_num_improvement_loops=-1, min_num_live_points=400, cluster_num_live_points=40
18:59:53 [ultranest] [DEBUG] minimal_widths_sequence: [(-inf, 400.0), (inf, 400.0)]
18:59:55 [ultranest] [DEBUG] iteration=680, ncalls=1830, regioncalls=57600, ndraw=40, logz=583.38, remainder_fraction=100.0000%, Lmin=590.56, Lmax=916.79
18:59:55 [ultranest] [DEBUG] iteration=704, ncalls=1923, regioncalls=61320, ndraw=40, logz=599.78, remainder_fraction=100.0000%, Lmin=607.35, Lmax=916.79
18:59:55 [ultranest] [DEBUG] iteration=720, ncalls=1990, regioncalls=64000, ndraw=40, logz=617.03, remainder_fraction=100.0000%, Lmin=625.60, Lmax=916.79
18:59:55 [ultranest] [DEBUG] iteration=742, ncalls=2081, regioncalls=67640, ndraw=40, logz=632.11, remainder_fraction=100.0000%, Lmin=641.20, Lmax=916.79
18:59:55 [ultranest] [DEBUG] iteration=758, ncalls=2178, regioncalls=71520, ndraw=40, logz=642.82, remainder_fraction=100.0000%, Lmin=651.62, Lmax=916.79
18:59:55 [ultranest] [DEBUG] iteration=760, ncalls=2182, regioncalls=71680, ndraw=40, logz=644.92, remainder_fraction=100.0000%, Lmin=652.25, Lmax=916.79
18:59:55 [ultranest] [DEBUG] iteration=785, ncalls=2272, regioncalls=75280, ndraw=40, logz=662.53, remainder_fraction=100.0000%, Lmin=670.29, Lmax=916.79
18:59:56 [ultranest] [DEBUG] iteration=800, ncalls=2360, regioncalls=78800, ndraw=40, logz=673.14, remainder_fraction=100.0000%, Lmin=681.09, Lmax=916.79
18:59:56 [ultranest] [DEBUG] iteration=810, ncalls=2399, regioncalls=80360, ndraw=40, logz=680.16, remainder_fraction=100.0000%, Lmin=689.10, Lmax=916.79
18:59:56 [ultranest] [DEBUG] iteration=829, ncalls=2486, regioncalls=83840, ndraw=40, logz=692.60, remainder_fraction=100.0000%, Lmin=700.54, Lmax=916.79
