weight logl α₁ f₁ α₂ variance ν μ
0.000000000000000000e+00 -1.263274247081111753e+03 2.252159710310365215e-01 1.137852766852925912e-01 8.349625422596751445e-02 4.837185813859713468e-01 3.319448242226460399e-01 9.603973529133763565e-01
0.000000000000000000e+00 -1.166202759665453868e+03 2.346883215391448729e-03 9.036639517884811346e-01 3.219810193372252272e-04 9.085618883557617931e-01 3.817468164602620950e-01 5.215286633031670505e-01
0.000000000000000000e+00 -1.131803663968134060e+03 1.015708307322078507e-01 6.810148366228978567e-01 1.267227923712681559e-01 7.952182218755656784e-01 1.737778540676443439e-01 1.830816491143316682e-02
0.000000000000000000e+00 -1.105415622398136520e+03 3.923711201010138261e-02 1.732846522259063882e-01 9.767108328750861990e-02 9.772772210391481584e-01 5.878615918058254231e-01 8.801889513442207047e-01
0.000000000000000000e+00 -1.085255596083187356e+03 3.216267819670075578e-01 4.764987242711624660e-01 4.122321467573829556e-01 1.997463625513636876e-01 1.723301463965509761e-01 9.853019493823880204e-01
0.000000000000000000e+00 -1.041972181166055634e+03 6.011674012419288005e-02 8.209494097137084445e-01 1.186346325595102336e-01 9.583305029651928431e-01 3.724586628350246009e-01 3.039749957672597258e-01
0.000000000000000000e+00 -9.952798698489498292e+02 2.113074698475646551e-01 7.787233088374343470e-01 3.341015856618709812e-01 3.575503736623215634e-01 5.748790248656563406e-01 7.721942074141374679e-01
0.000000000000000000e+00 -9.842215025596087798e+02 7.356959848471100738e-02 3.738751494874172909e-01 1.132449520846234847e-03 8.293465721489505782e-01 6.714135177819442468e-01 7.268837880865806067e-01
0.000000000000000000e+00 -9.147500984977216376e+02 8.860785374145030424e-03 9.615636323294765031e-01 4.231901873383712154e-01 9.116031391234236114e-01 1.382184589383672613e-02 7.449504549172991652e-02
0.000000000000000000e+00 -8.902507247114466509e+02 2.670888589842146388e-01 9.635676049885374406e-01 1.402376463786381144e-02 8.841817059515186816e-01 3.617025376206374210e-01 1.267549071764026980e-01
0.000000000000000000e+00 -8.682259314053541175e+02 4.181213513481574218e-02 5.854721968396443543e-01 7.198560459640211961e-01 6.095768364238564052e-01 1.424946932232862284e-01 8.959117738459247970e-01
0.000000000000000000e+00 -8.496973212950605330e+02 5.856366486994741827e-01 8.758792347090600394e-01 4.562496817149310768e-01 9.968935661538345094e-01 5.718598489440558374e-01 6.431860922392766966e-01
0.000000000000000000e+00 -8.413995068190062057e+02 2.102570893255006901e-01 5.418370679231742093e-01 2.074594725103697801e-01 1.920539718826463904e-01 7.825070551993285051e-02 1.644667942962096951e-01
0.000000000000000000e+00 -8.263105141092731856e+02 1.774850335558102454e-01 2.855727869259310214e-01 2.164539691703836199e-01 4.277079686796042557e-01 3.972844290484088825e-01 7.970294006637623774e-03
0.000000000000000000e+00 -8.207331813883879477e+02 1.678438788567826467e-01 8.776153622662631326e-01 3.293070947298342155e-01 2.776390300432755032e-01 2.010612494851986565e-01 2.241879103535641127e-01
0.000000000000000000e+00 -8.039541963076192133e+02 9.253868302102130627e-02 3.258855903305117874e-01 9.219065841024176589e-02 8.874345761774876662e-01 9.012612959120603895e-01 6.318892933530947387e-01
0.000000000000000000e+00 -7.814883557992881151e+02 1.667553142364960328e-01 5.011367399431647662e-01 2.141618468219791405e-01 9.205116387362199948e-02 5.831053455985264478e-01 6.837804397956923630e-01
0.000000000000000000e+00 -7.675235319058613186e+02 4.431607668938170042e-01 4.774469449459323167e-01 1.192891381155869457e-02 9.289061928174002780e-01 4.157119885755727884e-01 2.231810852324026540e-01
0.000000000000000000e+00 -7.637823458364348426e+02 2.159268796078278596e-01 8.677534223652654255e-01 7.765861136700883405e-01 8.655204964360085906e-01 7.127834808353367135e-01 7.656445797317656954e-02
0.000000000000000000e+00 -7.499367227896470922e+02 3.813019309329604978e-01 6.594941320168919985e-01 1.138971612260226696e-01 7.479436829624565020e-01 9.068820091986915521e-01 9.617495997208069802e-03
0.000000000000000000e+00 -7.450062572616201351e+02 3.784245117284291693e-01 6.120462368367078909e-01 8.001058012611172998e-02 9.256101445332134414e-01 1.696077029115432566e-01 9.074915100732078299e-01
0.000000000000000000e+00 -6.924630263720614494e+02 9.164866895110194145e-01 9.702743610906527927e-02 5.278632713939037657e-01 2.511284686568027169e-01 3.976654416100844358e-03 6.494947803599385727e-01
0.000000000000000000e+00 -6.523244837741600577e+02 1.666502543113757007e-01 9.797775457052788628e-01 8.084274741505250717e-01 8.792133974334960245e-01 6.042986555117139114e-01 7.047032930945874574e-01
0.000000000000000000e+00 -6.514209955097144302e+02 9.980055524860520499e-02 6.244360821850812870e-01 7.238776221042101389e-01 7.046511729506444999e-01 7.804104896119126167e-01 8.923780701308459129e-01
0.000000000000000000e+00 -6.376584949465029695e+02 1.166020391724142957e-01 9.714775122382690586e-01 4.825434902596347220e-01 2.461885636481422335e-01 4.226828033726752754e-01 6.745665598418768560e-01
0.000000000000000000e+00 -6.346782684570738411e+02 5.461605797294121212e-01 9.903649100112967840e-01 9.685821494575808099e-02 9.366815084140293068e-01 7.692811299968875804e-01 9.248154931198502293e-01
0.000000000000000000e+00 -6.344467177042919275e+02 4.917112958525918787e-01 6.991022281071644917e-01 1.404020261907861222e-01 9.616741411256698457e-01 6.703620778814189940e-02 7.118509994495006987e-01
0.000000000000000000e+00 -6.186226519139264610e+02 1.405295956745681307e-01 9.515139691219085538e-01 2.550912598786247987e-02 5.137145604056119197e-01 6.259557031768729907e-01 2.497495483142864181e-01
0.000000000000000000e+00 -6.167381126287859843e+02 5.993737115486541533e-02 3.087286130685966690e-01 3.077963688793046160e-01 9.913581981937309440e-01 7.511575331766988661e-01 1.091683941422152415e-01
0.000000000000000000e+00 -6.131867361738216005e+02 1.898288343012828339e-01 8.235526578643667106e-01 2.089034676729681905e-01 8.839752837922287831e-01 4.500751716915215583e-01 4.917035621628023101e-01
0.000000000000000000e+00 -6.106798404695279032e+02 2.813057766156239481e-01 5.806179881818980260e-01 4.477769786822346498e-01 7.308488444962746300e-02 7.640733003556235969e-01 7.494913529428290921e-01
