weight logl α₁ f₁ α₂ variance ν μ
0.000000000000000000e+00 -1.341128309525585337e+03 1.089884509981497995e-01 1.338839641887796250e-01 1.313339144124286428e-01 9.832768253363050048e-01 2.235785055844426772e+00 1.008647432382480114e-01
0.000000000000000000e+00 -1.312131401488351912e+03 2.697841722784136143e-01 5.065510254983156546e-01 3.389534568302507100e+00 1.532144825924772712e-02 2.028151250643055903e+00 1.100535806733411892e+00
0.000000000000000000e+00 -1.263274247081111753e+03 2.815199637887956241e-01 9.059257348615506501e-04 5.919991182264712215e-01 4.699414980046268814e-02 5.925003124780271468e-01 2.272249942424976688e+00
0.000000000000000000e+00 -1.166202759665453868e+03 2.933604019239310912e-03 3.635091949408827183e+00 4.220583531775765757e-03 3.274772992253143777e-01 6.621290628660764233e-01 3.733568738781050667e-01
0.000000000000000000e+00 -1.131803663968134060e+03 1.269635384152598134e-01 3.505832669405641311e-01 6.177655337830139093e-01 1.598128353852897865e-01 3.755916857563222355e-01 -2.019624607332920707e+00
0.000000000000000000e+00 -1.105415622398136520e+03 4.904639001262672826e-02 1.692499186249413982e-03 4.349403091187862835e-01 8.429429140185840108e-01 9.887349928174516966e-01 1.625584524637051054e+00
0.000000000000000000e+00 -1.085255596083187356e+03 4.020334774587594473e-01 4.090624736777753734e-02 1.885230941007131067e+00 1.512337243282248569e-02 3.735478978410005091e-01 2.744167586482097576e+00
0.000000000000000000e+00 -1.041972181166055634e+03 7.514592515524110006e-02 1.524656636699801782e+00 5.407695461741455212e-01 5.763145573956460765e-01 6.489866453489988585e-01 -2.594780617996418348e-01
0.000000000000000000e+00 -9.952798698489498292e+02 2.641343373094557911e-01 9.784458032174165876e-01 1.512292979034103091e+00 2.971188502286943589e-02 9.652914108432479878e-01 1.145829611592778186e+00
0.000000000000000000e+00 -9.842215025596087798e+02 9.196199810588875923e-02 1.391942753511602078e-02 9.638765386858262618e-02 1.912346990930650081e-01 1.154930791079620045e+00 9.865840282888544976e-01
0.000000000000000000e+00 -9.147500984977216376e+02 1.107598171768128803e-02 6.678108507811325367e+00 1.699149484293104306e+00 3.362732131260094959e-01 8.812389528892165813e-02 -1.297593324171030460e+00
0.000000000000000000e+00 -8.902507247114466509e+02 3.338610737302682985e-01 6.820176048022333681e+00 3.852741431619857715e-01 2.702566473296467708e-01 6.338651730497651959e-01 -9.613692700627646248e-01
0.000000000000000000e+00 -8.682259314053541175e+02 5.226516891851967772e-02 1.285068002512262386e-01 2.894065954935277407e+00 7.378921156304267537e-02 3.306855959744885998e-01 1.717847586625814493e+00
0.000000000000000000e+00 -8.496973212950605330e+02 7.320458108743427283e-01 2.714948851277855013e+00 2.223048869521899729e+00 2.386326305699692174e+00 9.599150583039687268e-01 7.227016082979657030e-01
0.000000000000000000e+00 -8.413995068190062057e+02 2.628213616568758626e-01 8.125738782289443352e-02 1.038134470644562324e+00 1.453982375799201671e-02 2.298705476348968380e-01 -7.765369979720376792e-01
0.000000000000000000e+00 -8.263105141092731856e+02 2.218562919447628068e-01 5.505368724671540724e-03 1.039650493649429963e+00 3.847727637092068081e-02 6.843077419815761786e-01 -2.377071294824889769e+00
0.000000000000000000e+00 -8.207331813883879477e+02 2.098048485709783084e-01 2.764915465939794093e+00 1.457943002347173334e+00 2.161859137009759443e-02 4.136615531846177252e-01 -5.330669029612991050e-01
0.000000000000000000e+00 -8.039541963076192133e+02 1.156733537762766328e-01 8.408010222624898167e-03 4.737719847720879285e-01 2.767715760624415711e-01 1.952834968427385576e+00 6.890762603556885857e-01
0.000000000000000000e+00 -7.814883557992881151e+02 2.084441427956200410e-01 5.298929628677553211e-02 1.020450747503202305e+00 7.609178513393856369e-03 9.800838036155046229e-01 8.469357729431579163e-01
0.000000000000000000e+00 -7.675235319058613186e+02 5.539509586172712829e-01 4.131572885060212641e-02 5.950585806223303020e-01 3.967818851926824264e-01 7.109615853280922826e-01 -5.368263039753381483e-01
0.000000000000000000e+00 -7.637823458364348426e+02 2.699085995097848523e-01 2.492824671992288188e+00 3.166645783850698059e+00 2.377253659516371798e-01 1.250197321332843892e+00 -1.281363158427026860e+00
0.000000000000000000e+00 -7.499367227896470922e+02 4.766274136662006500e-01 2.796493604497463648e-01 8.779295491912099125e-01 1.280596758013985981e-01 1.989573163962681690e+00 -2.299692719135630004e+00
0.000000000000000000e+00 -7.450062572616201351e+02 4.730306396605364894e-01 1.698856732488678578e-01 7.552255042683181374e-01 3.836285950649100385e-01 3.696967876454608781e-01 1.792482265610664260e+00
0.000000000000000000e+00 -6.924630263720614494e+02 1.145608361888774240e+00 7.597022400984378880e-04 2.652336869821569465e+00 1.927673253723726290e-02 4.597304680021710444e-02 7.416407351727963837e-01
0.000000000000000000e+00 -6.523244837741600577e+02 2.083128178892196258e-01 8.086214519050685112e+00 3.273616909291959587e+00 2.608353419759190106e-01 1.019219820134897647e+00 9.135458283952969660e-01
0.000000000000000000e+00 -6.514209955097144302e+02 1.247506940607565062e-01 1.934991991302450476e-01 2.929956946705047027e+00 1.065223829832075697e-01 1.434494210056061814e+00 1.696282852516916240e+00
0.000000000000000000e+00 -6.376584949465029695e+02 1.457525489655178697e-01 7.411063678070008542e+00 2.005594566311997617e+00 1.885637675015854400e-02 7.211530883044855456e-01 8.182085236976558429e-01
0.000000000000000000e+00 -6.346782684570738411e+02 6.827007246617651237e-01 9.037426218745764572e+00 1.004008410911883420e+00 4.318010884204864785e-01 1.401056016559169226e+00 1.918341405514792708e+00
0.000000000000000000e+00 -6.344467177042919275e+02 6.146391198157398206e-01 4.239413502204704143e-01 1.089950646780633026e+00 6.088389816209411887e-01 2.100773434895445158e-01 9.367880644609295482e-01
0.000000000000000000e+00 -6.186226519139264610e+02 1.756619945932101634e-01 6.009065735999772784e+00 2.732175145933026794e-01 5.226786308512679224e-02 1.060893236745207302e+00 -4.405987140816605141e-01
0.000000000000000000e+00 -6.167381126287859843e+02 7.492171394358176917e-02 7.021391374291355812e-03 1.283046557958751777e+00 1.442969139504489906e+00 1.349498464307558265e+00 -1.060812721601695152e+00
0.000000000000000000e+00 -6.131867361738216005e+02 2.372860428766035423e-01 1.566924439607148445e+00 1.023330036381157271e+00 2.698527889978347138e-01 7.618498050207002104e-01 2.898838784130047252e-01
0.000000000000000000e+00 -6.106798404695279032e+02 3.516322207695299351e-01 1.221184358299139544e-01 1.985287322074963834e+00 6.376554852296850706e-03 1.385890786191543045e+00 1.064126461863487805e+00
0.000000000000000000e+00 -6.097671700044768386e+02 1.462043034287233145e-01 1.119384502998887754e-01 5.358041226684433500e-01 1.197076907460619261e-01 3.074753613764452109e-01 6.493134889610379101e-01
