weight logl α₁ f₁ α₂ variance ν μ c
0.000000000000000000e+00 -3.155959639605663597e+03 1.687791387052339775e-02 9.513110657728330866e-01 3.453611424869593716e-01 6.033852117515007274e-01 1.458463570832519984e-01 9.683590377337334409e-01 1.854642486368396348e-01
0.000000000000000000e+00 -3.145351820500126905e+03 1.381388553639838479e-01 8.640889026278159024e-01 9.987689756468981495e-01 1.811872108515818480e-01 8.382212489716583947e-01 1.444256959377298033e-01 6.331365242125079895e-01
0.000000000000000000e+00 -3.100061999886321701e+03 1.149642285165560773e-01 8.518357128308906567e-01 6.672747779885623842e-02 2.079331626344257389e-01 1.931012409069808866e-01 1.074701447603774174e-01 9.066942791180918615e-01
0.000000000000000000e+00 -3.080128186215722053e+03 4.914622015757188489e-01 4.895598412118506992e-02 8.540965161384905802e-01 2.060218169138102740e-01 3.405514771617871306e-01 6.742800731720699492e-01 2.158912365679604983e-01
0.000000000000000000e+00 -3.069273826826889035e+03 1.471129796137692347e-01 3.346720410795089862e-03 1.053685586478314562e-01 8.962195178738463497e-02 2.144197458246259735e-01 1.790664320332704396e-01 4.583260126472924467e-01
0.000000000000000000e+00 -2.648838131415058342e+03 4.063597511223147052e-01 9.914075770410446520e-01 9.905798218301975488e-02 3.976743424699819007e-01 8.062198933486930397e-01 9.647129645971022072e-01 1.061503594207043877e-01
0.000000000000000000e+00 -2.633402158654822870e+03 1.122245657111142769e-02 8.873991618590806318e-01 5.199881044546684761e-01 3.916017087179148870e-01 5.777997535069340218e-01 8.538701768279431947e-01 7.961981209432271722e-01
0.000000000000000000e+00 -2.594143948998336327e+03 1.521317578270972026e-01 7.263708653414342464e-01 3.629280384038853224e-01 8.216071597245122593e-02 4.017286732482534539e-01 2.003729631880608597e-01 9.861012138588057807e-01
0.000000000000000000e+00 -2.593943404196338179e+03 2.322124294703876712e-01 9.025299465500420393e-01 6.602960161962299068e-01 1.248847987806248616e-01 7.665793599195984687e-01 7.330886926360625777e-01 3.538510205492957361e-01
0.000000000000000000e+00 -2.520694360261933980e+03 2.924044568164013702e-01 6.935767536332496652e-01 6.493521872973374576e-01 8.062970479100117771e-02 1.818790415513501513e-01 1.002995168758881173e-01 1.843270464748081316e-01
0.000000000000000000e+00 -2.421244963490195005e+03 6.446502585444137123e-01 1.158768634748548187e-01 9.810532205592125132e-01 6.518324429005917242e-01 1.012966423105984282e-01 4.392981477417163827e-01 7.834503359609219508e-01
0.000000000000000000e+00 -1.963485021531588927e+03 2.226432437633396599e-02 6.764265101673008207e-01 6.943506937418514324e-01 5.485838383575059041e-02 8.651182126747323231e-01 6.175058039810863431e-01 3.808624154069353285e-01
0.000000000000000000e+00 -1.960674671281209612e+03 2.560490407172025806e-01 8.423239557619554008e-01 8.402338029723742663e-01 2.489214821075954598e-01 2.521588377228131117e-01 8.311600863389683180e-01 3.625025351907775750e-01
0.000000000000000000e+00 -1.881948204133153013e+03 3.537557951876960649e-01 6.974181619235116925e-01 9.968149353046129590e-03 3.042945402344011674e-01 3.545149877119457837e-01 1.189976337580191945e-01 6.001836195453411626e-01
0.000000000000000000e+00 -1.865463193114815112e+03 3.203322583897231235e-01 8.502906825298301996e-01 4.314789444433918542e-01 6.626011185240821000e-02 5.218121277421393645e-01 6.752574241002676780e-01 1.612715009344767303e-01
