12:00:33 [ultranest] [DEBUG] ReactiveNestedSampler: dims=7+0, resume=True, log_dir=inference/subset_simu_single, backend=hdf5, vectorized=False, nbootstraps=30, ndraw=128..65536
12:00:35 [ultranest] [INFO] Sampling 400 live points from prior ...
12:00:36 [ultranest] [DEBUG] run_iter dlogz=0.5, dKL=0.5, frac_remain=0.01, Lepsilon=0.0010, min_ess=400
12:00:36 [ultranest] [DEBUG] max_iters=-1, max_ncalls=-1, max_num_improvement_loops=-1, min_num_live_points=400, cluster_num_live_points=40
12:00:36 [ultranest] [DEBUG] minimal_widths_sequence: [(-inf, 400.0), (inf, 400.0)]
12:00:38 [ultranest] [DEBUG] iteration=638, ncalls=1709, regioncalls=52600, ndraw=40, logz=303.85, remainder_fraction=100.0000%, Lmin=310.02, Lmax=463.66
12:00:38 [ultranest] [DEBUG] iteration=640, ncalls=1714, regioncalls=52800, ndraw=40, logz=304.26, remainder_fraction=100.0000%, Lmin=310.49, Lmax=463.66
12:00:38 [ultranest] [DEBUG] iteration=657, ncalls=1786, regioncalls=55680, ndraw=40, logz=308.87, remainder_fraction=100.0000%, Lmin=315.17, Lmax=463.66
12:00:38 [ultranest] [DEBUG] iteration=676, ncalls=1866, regioncalls=58880, ndraw=40, logz=312.73, remainder_fraction=100.0000%, Lmin=319.75, Lmax=463.66
12:00:39 [ultranest] [DEBUG] iteration=680, ncalls=1885, regioncalls=59680, ndraw=40, logz=314.00, remainder_fraction=100.0000%, Lmin=320.94, Lmax=463.66
12:00:39 [ultranest] [DEBUG] iteration=700, ncalls=1959, regioncalls=62640, ndraw=40, logz=320.59, remainder_fraction=100.0000%, Lmin=326.59, Lmax=463.66
12:00:39 [ultranest] [DEBUG] iteration=717, ncalls=2057, regioncalls=66560, ndraw=40, logz=325.07, remainder_fraction=100.0000%, Lmin=331.39, Lmax=463.66
12:00:39 [ultranest] [DEBUG] iteration=720, ncalls=2072, regioncalls=67160, ndraw=40, logz=325.63, remainder_fraction=100.0000%, Lmin=331.75, Lmax=463.66
12:00:39 [ultranest] [DEBUG] iteration=735, ncalls=2171, regioncalls=71120, ndraw=40, logz=329.05, remainder_fraction=100.0000%, Lmin=335.82, Lmax=463.66
12:00:39 [ultranest] [DEBUG] iteration=752, ncalls=2257, regioncalls=74560, ndraw=40, logz=334.76, remainder_fraction=100.0000%, Lmin=342.07, Lmax=463.66
12:00:39 [ultranest] [DEBUG] iteration=760, ncalls=2283, regioncalls=75600, ndraw=40, logz=337.12, remainder_fraction=100.0000%, Lmin=343.52, Lmax=463.66
12:00:39 [ultranest] [DEBUG] iteration=781, ncalls=2357, regioncalls=78560, ndraw=40, logz=340.99, remainder_fraction=100.0000%, Lmin=347.59, Lmax=463.66
12:00:39 [ultranest] [DEBUG] iteration=796, ncalls=2440, regioncalls=81880, ndraw=40, logz=343.78, remainder_fraction=100.0000%, Lmin=349.83, Lmax=463.66
12:00:39 [ultranest] [DEBUG] iteration=800, ncalls=2457, regioncalls=82560, ndraw=40, logz=344.46, remainder_fraction=100.0000%, Lmin=351.14, Lmax=463.66
12:00:39 [ultranest] [DEBUG] iteration=810, ncalls=2499, regioncalls=84280, ndraw=40, logz=347.94, remainder_fraction=100.0000%, Lmin=355.13, Lmax=463.66
12:00:39 [ultranest] [DEBUG] iteration=823, ncalls=2587, regioncalls=87920, ndraw=40, logz=351.73, remainder_fraction=100.0000%, Lmin=358.58, Lmax=463.66
12:00:40 [ultranest] [DEBUG] iteration=838, ncalls=2657, regioncalls=90880, ndraw=40, logz=355.39, remainder_fraction=100.0000%, Lmin=362.06, Lmax=463.66
12:00:40 [ultranest] [DEBUG] iteration=840, ncalls=2665, regioncalls=91200, ndraw=40, logz=355.84, remainder_fraction=100.0000%, Lmin=362.74, Lmax=463.66
12:00:40 [ultranest] [DEBUG] iteration=857, ncalls=2736, regioncalls=94120, ndraw=40, logz=360.26, remainder_fraction=100.0000%, Lmin=367.85, Lmax=463.66
12:00:40 [ultranest] [DEBUG] iteration=876, ncalls=2825, regioncalls=97840, ndraw=40, logz=365.06, remainder_fraction=100.0000%, Lmin=371.67, Lmax=463.66
12:00:40 [ultranest] [DEBUG] iteration=880, ncalls=2862, regioncalls=99360, ndraw=40, logz=365.80, remainder_fraction=100.0000%, Lmin=372.77, Lmax=463.66
12:00:40 [ultranest] [DEBUG] iteration=894, ncalls=2956, regioncalls=103160, ndraw=40, logz=368.91, remainder_fraction=100.0000%, Lmin=375.77, Lmax=463.66
12:00:40 [ultranest] [DEBUG] clustering found some stray points [need_accept=False] (array([1, 2, 3]), array([398,   1,   1]))
12:00:40 [ultranest] [DEBUG] iteration=905, ncalls=3025, regioncalls=106000, ndraw=40, logz=370.51, remainder_fraction=100.0000%, Lmin=376.54, Lmax=463.66
12:00:40 [ultranest] [DEBUG] iteration=919, ncalls=3104, regioncalls=109320, ndraw=40, logz=372.94, remainder_fraction=100.0000%, Lmin=379.32, Lmax=463.66
12:00:40 [ultranest] [DEBUG] iteration=920, ncalls=3113, regioncalls=109680, ndraw=40, logz=373.08, remainder_fraction=100.0000%, Lmin=380.05, Lmax=463.66
12:00:40 [ultranest] [DEBUG] iteration=936, ncalls=3194, regioncalls=113040, ndraw=40, logz=376.34, remainder_fraction=100.0000%, Lmin=382.59, Lmax=463.66
12:00:40 [ultranest] [DEBUG] iteration=953, ncalls=3275, regioncalls=116320, ndraw=40, logz=379.39, remainder_fraction=100.0000%, Lmin=385.93, Lmax=463.66
12:00:40 [ultranest] [DEBUG] iteration=960, ncalls=3308, regioncalls=117640, ndraw=40, logz=380.30, remainder_fraction=100.0000%, Lmin=386.51, Lmax=463.66
12:00:41 [ultranest] [DEBUG] iteration=975, ncalls=3386, regioncalls=120840, ndraw=40, logz=382.51, remainder_fraction=100.0000%, Lmin=389.03, Lmax=463.66
12:00:41 [ultranest] [DEBUG] iteration=990, ncalls=3459, regioncalls=123840, ndraw=40, logz=384.82, remainder_fraction=100.0000%, Lmin=391.22, Lmax=463.66
12:00:41 [ultranest] [DEBUG] iteration=1000, ncalls=3498, regioncalls=125400, ndraw=40, logz=385.88, remainder_fraction=100.0000%, Lmin=392.11, Lmax=463.66
12:00:41 [ultranest] [DEBUG] iteration=1015, ncalls=3569, regioncalls=128240, ndraw=40, logz=387.66, remainder_fraction=100.0000%, Lmin=394.21, Lmax=463.66
12:00:41 [ultranest] [DEBUG] iteration=1028, ncalls=3661, regioncalls=132000, ndraw=40, logz=389.71, remainder_fraction=100.0000%, Lmin=396.16, Lmax=463.66
